code,pk_id,like count,post,updatedAt,firtstmatch
Cn2lJxOukf2,9702158,4725,"Still love this shoot I did with  @missscampbell ⁣at the end of 2019! Which shot is your fav? I couldn’t pick between these 3!
⁣
Styling Creative by @connie_berg⁣⁣
On Set Styling @yasminekenawi⁣⁣
Make Up by @caitlinwooters⁣⁣
Hair by @thisisclay⁣⁣
Retouching by @monica_chamorro⁣",2023-11-18 19:48:02,@missscampbell
CnB2HY9oR6f,9702158,2435,"Best way to start the new year with this cover for @tatlerasia! It was such a pleasure being a part of this shoot with the beautiful and inspiring @miakang 🖤 if you are able to grab yourself a copy it’s a really inspiring read. 

Styling by @connie_berg 
Make Up @ayatariqmua 
Hair by @yukikotajima 
Retouching by @retouchconcept 
Production by @muzam_productions 
With thanks to studio @blankstudionyc and assistants @hunterarthurm @steventphoto",2023-11-18 19:48:02,@tatlerasia
CnPBWsouWTp,9702158,4479,"Cover shoot with the lovely @miakang for @tatlerasia! 🖤

Styling by @connie_berg 
Make Up @ayatariqmua 
Hair by @yukikotajima 
Retouching by @retouchconcept 
Production by @muzam_productions 
With thanks to studio @blankstudionyc and assistants @hunterarthurm @steventphoto",2023-11-18 19:48:02,@miakang
CnURWaDurN1,9702158,6949,"Cover shoot with the lovely @miakang for @tatlerasia! Which shot is your favorite? 1, 2 or 3? 

Styling by @connie_berg 
Make Up @ayatariqmua 
Hair by @yukikotajima 
Retouching by @retouchconcept 
Production by @muzam_productions 
With thanks to studio @blankstudionyc and assistants @hunterarthurm @steventphoto",2023-11-18 19:48:02,@miakang
CnxLLGzuKCU,9702158,2095,"New Work with the beautiful @thelumagrothe 🖤 ⁣
Styling @connie_berg ⁣
Make Up by @theauthenticface ⁣
Hair by @nikoweddle ⁣
Retouching @retouchconcept",2023-11-18 19:48:02,@thelumagrothe
Co2vcK2O6tK,9702158,1431,"New story for @modernluxury spring23 collections story featuring the lovely @alexinagraham. It’s been a hot minute since I did a location story, so I’m excited to share this with you all! ⁣⁣
⁣⁣
Styling/Creative @fayevandevrede⁣⁣
Make Up by @deborahaltiziomakeup⁣⁣
Hair by @thisisclay⁣⁣
Location @jamesastyle ⁣
Retouching by @retouchconcept",2023-11-18 19:48:02,@modernluxury
Co7x4aKuR9H,9702158,1688,"New story for @modernluxury spring23 collections story featuring @alexinagraham in this amazing look by @balenciaga 🔥 
⁣⁣
Styling/Creative @fayevandevrede⁣⁣
Make Up by @deborahaltiziomakeup⁣⁣
Hair by @thisisclay⁣⁣
Location @jamesastyle ⁣
Retouching by @retouchconcept",2023-11-18 19:48:02,@modernluxury
CoLR-O7ut9e,9702158,3809,"Shoots with miss @jia_ttong never get old 🖤 which shot is your favorite? ⁣⁣
⁣⁣
Styling by @connie_berg ⁣⁣
Make Up by @misuzumiyake ⁣⁣
Hair by @michaelthomaslollo ⁣
Retouching by @retouchconcept",2023-11-18 19:48:02,@jia_ttong
CoVC9AAOjrK,9702158,1274,"New beauty with @kissthexun 💫 
Styling by @connie_berg
Make Up by @theauthenticface
Hair by @nikoweddle
Retouching @colorconsulting_us",2023-11-18 19:48:02,@kissthexun
Cq3pOH4uro4,9702158,8983,"Hi, its me.. I’m still around its me! ⁣
⁣
Photo of me by @megantoriglia. ⁣
⁣
Just wanted to check in to say HELLO to you all and remind you that I’m still around despite my lack of posting. As I mentioned in my last post I am either 100% or none at all lately and I’m trying to find that balance again!⁣
⁣
I’d also love to take this time to introduce myself to new followers! If you’ve just started following me you’ll notice my feed is full of my work but not much about myself so I wanted to give you a little more insight!⁣
⁣
I was born in England but moved to NY in my early twenties - and I'm still here! They say if you’ve been in NY over 10 years you are a true New Yorker, but I still feel very British. ⁣
⁣
I have been a photographer for over half of my life. Fun fact - I have never had another job (despite doing one day work experience at the Asda / Walmart photo counter and hated it).⁣
I started shooting at 14 years old when digital photography was in its early stages and everyone (including myself) heavily used and relied on Photoshop. How many of you remember DeviantART and Flickr?!⁣
I haven’t always been a fashion/beauty photographer - my first love was fine art portraiture & self-portraits. I am self-taught, and I have always been crafty (a skill that comes in handy on many of my jobs today!). ⁣
⁣
I got into fashion photography because I loved the collaboration aspect of working with a team and sharing ideas. Even when I shot fine-art photography, I dreamed of shooting for publications and would find myself staring in awe at the pages of international fashion print magazines. ⁣
⁣
I moved to NY because a last minute trip made me realize I needed a change. In my early twenties I visited the city to see friends and explore and instantly fell in love with the creative energy and hustle of the industry. I met my husband on one of those early trips and here we are many years later!⁣
⁣
Today I am working a lot with a variety of fashion & beauty/clients and even though I've been doing this a long time, sometimes I have to pinch myself and remind myself what 14 year old Lara would have thought of me now living my dream!⁣
⁣",2023-11-18 19:48:02,@megantoriglia.
